 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  TEXL,  TEXR,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    78.5,    92.3,    0.33,    0.22,0.0207,0.0199,  0.00,   359.5,    -0.3,     1.0
    2, 194.549, 194.649,    87.7,    86.3,    0.31,    0.24,0.0238,0.0189,  0.00,   359.5,    -0.5,     0.7
    3, 194.649, 194.749,    77.2,   106.1,    0.30,    0.27,0.0201,0.0199,  0.00,   359.6,    -0.6,     1.0
    4, 194.749, 194.849,    78.1,    71.3,    0.34,    0.18,0.0210,0.0175,  0.00,   359.5,    -0.6,     1.1
    5, 194.849, 194.949,    72.5,    83.2,    0.36,    0.20,0.0189,0.0206,  0.00,   359.5,    -0.5,     0.9
    6, 194.949, 195.049,    77.2,    88.7,    0.36,    0.20,0.0217,0.0206,  0.00,   359.6,    -0.3,     0.9
    7, 195.049, 195.149,   102.7,   115.7,    0.34,    0.17,0.0249,0.0232,  0.00,   359.6,    -0.1,     1.0
    8, 195.149, 195.249,    79.7,    95.9,    0.31,    0.19,0.0252,0.0263,  0.23,   359.5,    -0.2,     0.9
    9, 195.249, 195.349,    94.2,    95.2,    0.26,    0.19,0.0258,0.0228,  0.00,   359.5,    -0.2,     1.0
   10, 195.349, 195.449,    57.2,    70.6,    0.12,    0.07,0.0184,0.0194,  0.00,   359.4,    -0.2,     1.1
   11, 195.449, 195.549,    58.8,    48.7,    0.11,    0.08,0.0208,0.0157,  0.00,   359.6,    -0.3,     1.2
   12, 195.549, 195.649,    80.2,    74.9,    0.12,    0.11,0.0239,0.0196,  0.46,   359.5,    -0.6,     1.2
   13, 195.649, 195.749,    70.2,    64.1,    0.16,    0.10,0.0245,0.0186,  0.00,   359.6,    -0.7,     1.1
   14, 195.749, 195.849,    50.8,    42.7,    0.14,    0.07,0.0200,0.0154,  0.00,   359.4,    -0.8,     1.1
   15, 195.849, 195.949,    49.9,    48.4,    0.12,    0.06,0.0184,0.0152,  0.00,   359.5,    -0.7,     1.0
   16, 195.949, 196.049,    54.7,    44.4,    0.13,    0.07,0.0192,0.0167,  0.00,   359.5,    -0.6,     1.1
   17, 196.049, 196.149,    49.9,    46.9,    0.10,    0.09,0.0206,0.0181,  0.00,   359.6,    -0.6,     1.3
   18, 196.149, 196.249,    44.0,    48.7,    0.11,    0.09,0.0188,0.0169,  0.00,   359.5,    -0.6,     1.4
   19, 196.249, 196.349,    46.9,    47.5,    0.11,    0.10,0.0190,0.0178,  0.00,   359.6,    -0.1,     1.4
   20, 196.349, 196.449,    45.8,    54.6,    0.11,    0.12,0.0172,0.0172,  0.00,   359.5,     1.6,     1.6
   21, 196.449, 196.549,   105.1,    80.8,    0.09,    0.12,0.0258,0.0247,  0.00,   359.6,    -0.1,     1.5
   22, 196.549, 196.649,    44.8,    55.3,    0.10,    0.08,0.0195,0.0187,  0.00,   359.5,    -2.1,     1.7
   23, 196.649, 196.749,    46.2,    49.3,    0.09,    0.10,0.0195,0.0181,  0.00,   359.6,    -2.4,     1.7
   24, 196.749, 196.849,    45.6,    44.5,    0.11,    0.09,0.0184,0.0199,  0.00,   359.5,    -1.1,     2.0
   25, 196.849, 196.949,    49.9,    47.4,    0.09,    0.09,0.0189,0.0186,  0.00,   359.5,    -0.6,     1.8
   26, 196.949, 197.049,    47.3,    53.5,    0.08,    0.09,0.0190,0.0187,  0.00,   359.6,    -0.5,     1.9
   27, 197.049, 197.149,    58.9,    57.3,    0.08,    0.08,0.0183,0.0178,  0.00,   359.4,    -0.5,     1.9
   28, 197.149, 197.249,    50.2,    46.4,    0.09,    0.09,0.0178,0.0161,  0.00,   359.6,    -0.5,     1.7
   29, 197.249, 197.349,    45.8,    51.8,    0.10,    0.10,0.0179,0.0170,  0.00,   359.5,    -0.4,     1.7
   30, 197.349, 197.449,    47.7,    43.9,    0.09,    0.10,0.0180,0.0163,  0.00,   359.5,    -0.4,     1.7
   31, 197.449, 197.549,    52.6,    45.3,    0.10,    0.08,0.0185,0.0168,  0.00,   359.5,    -0.2,     1.3
   32, 197.549, 197.649,    44.8,    46.2,    0.09,    0.10,0.0154,0.0157,  0.00,   359.6,     0.1,     1.6
   33, 197.649, 197.749,    47.9,    47.0,    0.11,    0.09,0.0171,0.0162,  0.00,   359.5,     0.1,     1.7
   34, 197.749, 197.849,    44.7,    53.5,    0.12,    0.10,0.0176,0.0181,  0.00,   359.6,     0.1,     1.8
   35, 197.849, 197.949,    51.3,    54.0,    0.10,    0.10,0.0157,0.0169,  0.00,   359.5,     0.1,     1.9
   36, 197.949, 198.049,    43.7,    45.6,    0.10,    0.10,0.0179,0.0160,  0.00,   359.4,     0.2,     1.9
   37, 198.049, 198.149,    54.6,    45.8,    0.10,    0.10,0.0204,0.0168,  0.00,   359.5,     0.3,     1.9
   38, 198.149, 198.249,    50.5,    47.2,    0.10,    0.11,0.0199,0.0174,  0.00,   359.4,     0.4,     1.7
   39, 198.249, 198.349,    50.9,    57.5,    0.09,    0.10,0.0164,0.0162,  0.00,   359.6,     0.5,     1.9
   40, 198.349, 198.449,    54.0,    45.5,    0.11,    0.10,0.0171,0.0161,  0.00,   359.5,     0.6,     2.0
   41, 198.449, 198.549,    47.6,    43.5,    0.12,    0.13,0.0223,0.0175,  0.00,   359.5,     0.6,     2.0
   42, 198.549, 198.649,    46.2,    42.1,    0.12,    0.13,0.0201,0.0172,  0.00,   359.5,     0.6,     2.0
   43, 198.649, 198.749,    43.6,    44.9,    0.12,    0.14,0.0206,0.0173,  0.00,   359.5,     0.6,     1.9
   44, 198.749, 198.849,    43.0,    45.6,    0.12,    0.11,0.0183,0.0177,  0.00,   359.5,     0.6,     1.8
   45, 198.849, 198.949,    40.9,    44.7,    0.12,    0.11,0.0204,0.0195,  0.00,   359.6,     0.6,     2.0
   46, 198.949, 199.049,    45.5,    45.0,    0.12,    0.13,0.0201,0.0181,  0.00,   359.5,     0.6,     2.0
   47, 199.049, 199.149,    46.4,    49.1,    0.11,    0.11,0.0196,0.0163,  0.00,   359.4,     0.5,     1.9
   48, 199.149, 199.249,    44.9,    51.3,    0.09,    0.09,0.0165,0.0177,  0.00,   359.6,     0.4,     1.7
   49, 199.249, 199.349,    51.8,    71.0,    0.08,    0.08,0.0176,0.0175,  0.00,   359.5,     0.5,     1.8
   50, 199.349, 199.446,    60.8,    64.3,    0.09,    0.07,0.0202,0.0206,  0.00,   359.5,     0.8,     1.5
