 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.2,    91.0,    0.33,    0.23,   359.6,     1.1,     0.2
    2, 194.549, 194.649,    83.1,    92.4,    0.30,    0.26,   359.4,     1.0,     0.1
    3, 194.649, 194.749,    84.6,    90.0,    0.31,    0.26,   359.6,     1.0,     0.3
    4, 194.749, 194.849,    77.9,    74.0,    0.34,    0.19,   359.5,     0.9,     0.5
    5, 194.849, 194.949,    75.9,    86.5,    0.34,    0.21,   359.5,     0.9,     0.4
    6, 194.949, 195.049,    77.7,    87.0,    0.35,    0.22,   359.5,     1.2,     0.4
    7, 195.049, 195.149,   101.4,   115.7,    0.33,    0.18,   359.6,     1.2,     0.6
    8, 195.149, 195.249,    81.7,    93.8,    0.31,    0.20,   359.4,     1.0,     0.6
    9, 195.249, 195.349,    88.4,    96.2,    0.24,    0.17,   359.7,     0.8,     0.7
   10, 195.349, 195.449,    63.8,    67.1,    0.11,    0.08,   359.3,     0.7,     0.8
   11, 195.449, 195.549,    56.2,    52.3,    0.11,    0.09,   359.6,     0.5,     1.0
   12, 195.549, 195.649,    74.6,    76.6,    0.11,    0.12,   359.5,    -0.0,     1.0
   13, 195.649, 195.749,    76.5,    66.6,    0.16,    0.11,   359.6,    -0.2,     0.8
   14, 195.749, 195.849,    52.1,    41.5,    0.14,    0.08,   359.4,    -0.5,     0.9
   15, 195.849, 195.949,    50.2,    49.4,    0.12,    0.07,   359.5,    -0.5,     0.7
   16, 195.949, 196.049,    50.8,    44.9,    0.13,    0.07,   359.6,    -0.4,     0.9
   17, 196.049, 196.149,    50.5,    46.1,    0.10,    0.09,   359.6,    -0.5,     1.1
   18, 196.149, 196.249,    44.4,    49.8,    0.11,    0.10,   359.5,    -0.7,     1.2
   19, 196.249, 196.349,    48.5,    50.6,    0.09,    0.12,   359.6,    -0.3,     1.3
   20, 196.349, 196.449,    46.1,    51.5,    0.10,    0.12,   359.6,     1.3,     1.4
   21, 196.449, 196.549,   108.0,    81.2,    0.09,    0.12,   359.5,    -0.4,     1.3
   22, 196.549, 196.649,    45.7,    53.3,    0.11,    0.09,   359.6,    -2.6,     1.5
   23, 196.649, 196.749,    48.1,    47.7,    0.11,    0.09,   359.5,    -3.1,     1.5
   24, 196.749, 196.849,    43.7,    47.5,    0.11,    0.09,   359.6,    -1.9,     1.8
   25, 196.849, 196.949,    45.8,    49.6,    0.08,    0.11,   359.5,    -1.5,     1.6
   26, 196.949, 197.049,    47.7,    54.8,    0.09,    0.10,   359.5,    -1.6,     1.6
   27, 197.049, 197.149,    59.8,    56.6,    0.09,    0.08,   359.4,    -1.7,     1.5
   28, 197.149, 197.249,    52.6,    47.3,    0.10,    0.08,   359.6,    -1.8,     1.3
   29, 197.249, 197.349,    46.3,    51.2,    0.10,    0.10,   359.6,    -1.8,     1.4
   30, 197.349, 197.449,    51.8,    42.8,    0.10,    0.10,   359.5,    -1.7,     1.3
   31, 197.449, 197.549,    48.9,    44.0,    0.09,    0.10,   359.5,    -1.5,     1.1
   32, 197.549, 197.649,    48.8,    51.6,    0.11,    0.09,   359.5,    -1.2,     1.2
   33, 197.649, 197.749,    46.9,    46.4,    0.11,    0.10,   359.6,    -1.2,     1.3
   34, 197.749, 197.849,    47.1,    50.5,    0.11,    0.10,   359.6,    -1.1,     1.4
   35, 197.849, 197.949,    51.0,    54.1,    0.10,    0.10,   359.5,    -1.2,     1.5
   36, 197.949, 198.049,    44.2,    46.1,    0.10,    0.10,   359.4,    -1.3,     1.4
   37, 198.049, 198.149,    50.6,    45.7,    0.11,    0.10,   359.6,    -1.2,     1.4
   38, 198.149, 198.249,    50.0,    47.5,    0.10,    0.12,   359.4,    -1.1,     1.3
   39, 198.249, 198.349,    51.9,    57.7,    0.10,    0.10,   359.6,    -0.9,     1.4
   40, 198.349, 198.449,    51.8,    46.2,    0.10,    0.10,   359.5,    -0.9,     1.5
   41, 198.449, 198.549,    49.2,    46.1,    0.11,    0.13,   359.5,    -1.0,     1.5
   42, 198.549, 198.649,    47.0,    43.0,    0.12,    0.13,   359.5,    -1.0,     1.4
   43, 198.649, 198.749,    45.6,    45.6,    0.12,    0.13,   359.6,    -1.0,     1.3
   44, 198.749, 198.849,    41.5,    43.0,    0.11,    0.12,   359.5,    -0.9,     1.2
   45, 198.849, 198.949,    43.4,    45.9,    0.11,    0.12,   359.7,    -0.9,     1.4
   46, 198.949, 199.049,    42.9,    45.8,    0.12,    0.12,   359.4,    -0.9,     1.4
   47, 199.049, 199.149,    46.5,    50.2,    0.12,    0.10,   359.5,    -1.0,     1.3
   48, 199.149, 199.249,    49.8,    50.8,    0.10,    0.08,   359.5,    -1.0,     1.1
   49, 199.249, 199.349,    56.6,    71.6,    0.09,    0.08,   359.5,    -0.8,     1.1
   50, 199.349, 199.349,    59.2,    65.6,    0.09,    0.06,   359.5,    -0.4,     0.9
