 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  TEXL,  TEXR,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    80.8,    98.1,    0.29,    0.26,0.0216,0.0200,  0.00,   359.6,    -0.1,     0.8
    2, 194.549, 194.649,    81.0,    93.2,    0.31,    0.26,0.0231,0.0200,  0.00,   359.4,    -0.3,     0.6
    3, 194.649, 194.749,    85.0,    94.1,    0.30,    0.27,0.0230,0.0193,  0.00,   359.6,    -0.6,     0.8
    4, 194.749, 194.849,    78.8,    74.1,    0.34,    0.20,0.0217,0.0176,  0.00,   359.5,    -0.7,     0.9
    5, 194.849, 194.949,    72.2,    86.1,    0.34,    0.22,0.0195,0.0205,  0.00,   359.5,    -0.7,     0.8
    6, 194.949, 195.049,    79.6,    83.0,    0.36,    0.24,0.0214,0.0191,  0.00,   359.6,    -0.5,     0.8
    7, 195.049, 195.149,   101.3,   112.2,    0.33,    0.19,0.0247,0.0229,  0.00,   359.5,    -0.4,     0.9
    8, 195.149, 195.249,    82.0,    96.6,    0.30,    0.21,0.0264,0.0261,  0.00,   359.5,    -0.5,     0.8
    9, 195.249, 195.349,    97.4,    97.8,    0.25,    0.21,0.0257,0.0223,  0.00,   359.5,    -0.6,     0.9
   10, 195.349, 195.449,    65.4,    67.2,    0.11,    0.09,0.0209,0.0186,  0.00,   359.5,    -0.7,     1.0
   11, 195.449, 195.549,    59.9,    55.1,    0.12,    0.10,0.0215,0.0173,  0.00,   359.5,    -0.7,     1.2
   12, 195.549, 195.649,    72.7,    70.9,    0.12,    0.12,0.0207,0.0176,  0.48,   359.5,    -1.1,     1.2
   13, 195.649, 195.749,    80.2,    71.1,    0.17,    0.11,0.0243,0.0200,  0.00,   359.5,    -1.2,     1.0
   14, 195.749, 195.849,    47.0,    45.8,    0.15,    0.08,0.0176,0.0161,  0.00,   359.5,    -1.4,     1.1
   15, 195.849, 195.949,    50.8,    49.7,    0.12,    0.09,0.0180,0.0167,  0.00,   359.5,    -1.3,     1.0
   16, 195.949, 196.049,    50.9,    43.7,    0.14,    0.08,0.0189,0.0160,  0.00,   359.5,    -1.3,     1.1
