 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    75.7,   109.2,    0.30,    0.20,  0.00,   359.5,     0.6,     1.1
    2, 194.549, 194.649,    85.6,    93.6,    0.31,    0.24,  0.00,   359.4,     0.3,     0.8
    3, 194.649, 194.749,    82.2,    92.2,    0.31,    0.26,  0.00,   359.5,     0.0,     1.0
    4, 194.749, 194.849,    75.6,    70.3,    0.36,    0.19,  0.00,   359.5,    -0.2,     1.1
    5, 194.849, 194.949,    72.1,    83.5,    0.35,    0.21,  0.00,   359.5,    -0.3,     1.0
    6, 194.949, 195.049,    81.9,    94.3,    0.36,    0.20,  0.00,   359.6,    -0.2,     1.0
    7, 195.049, 195.149,   102.4,   121.2,    0.33,    0.16,  0.00,   359.5,    -0.1,     1.2
    8, 195.149, 195.249,    80.8,    97.1,    0.31,    0.19,  0.00,   359.5,    -0.3,     1.1
    9, 195.249, 195.349,    95.0,    94.1,    0.26,    0.19,  0.00,   359.4,    -0.4,     1.2
   10, 195.349, 195.449,    61.7,    67.0,    0.11,    0.08,  0.00,   359.5,    -0.4,     1.2
   11, 195.449, 195.549,    59.2,    50.5,    0.10,    0.09,  0.00,   359.5,    -0.4,     1.5
   12, 195.549, 195.649,    80.9,    73.1,    0.11,    0.11,  0.00,   359.6,    -0.8,     1.4
   13, 195.649, 195.749,    60.7,    61.4,    0.16,    0.11,  0.00,   359.5,    -0.9,     1.3
   14, 195.749, 195.849,    50.0,    44.9,    0.13,    0.09,  0.00,   359.4,    -1.0,     1.3
   15, 195.849, 195.949,    50.0,    46.3,    0.12,    0.07,  0.00,   359.5,    -0.9,     1.2
   16, 195.949, 196.049,    54.2,    47.7,    0.12,    0.09,  0.00,   359.5,    -0.8,     1.4
   17, 196.049, 196.149,    51.3,    46.9,    0.11,    0.09,  0.00,   359.6,    -0.7,     1.6
   18, 196.149, 196.249,    41.6,    49.3,    0.11,    0.10,  0.00,   359.4,    -0.8,     1.6
   19, 196.249, 196.349,    49.4,    49.0,    0.09,    0.11,  0.00,   359.6,    -0.2,     1.7
   20, 196.349, 196.449,    45.8,    51.2,    0.09,    0.13,  0.00,   359.6,     1.5,     1.8
   21, 196.449, 196.549,    90.4,    84.7,    0.09,    0.12,  0.00,   359.5,    -0.2,     1.7
   22, 196.549, 196.649,    44.9,    56.4,    0.09,    0.10,  0.00,   359.5,    -2.2,     1.9
   23, 196.649, 196.749,    46.8,    48.8,    0.10,    0.11,  0.00,   359.5,    -2.6,     2.0
   24, 196.749, 196.849,    45.4,    43.7,    0.12,    0.08,  0.00,   359.5,    -1.2,     2.2
   25, 196.849, 196.949,    59.0,    49.4,    0.11,    0.07,  0.00,   359.5,    -0.8,     1.9
   26, 196.949, 197.049,    49.0,    50.2,    0.11,    0.08,  0.00,   359.6,    -0.7,     2.0
   27, 197.049, 197.149,    61.4,    61.4,    0.10,    0.07,  0.00,   359.5,    -0.7,     2.0
   28, 197.149, 197.249,    51.1,    44.1,    0.11,    0.08,  0.00,   359.6,    -0.7,     1.8
   29, 197.249, 197.349,    46.3,    53.0,    0.11,    0.09,  0.00,   359.5,    -0.7,     1.9
   30, 197.349, 197.449,    48.0,    43.9,    0.09,    0.10,  0.00,   359.5,    -0.7,     1.9
   31, 197.449, 197.549,    47.5,    44.2,    0.09,    0.10,  0.00,   359.5,    -0.5,     1.6
   32, 197.549, 197.649,    46.5,    43.2,    0.10,    0.10,  0.00,   359.6,    -0.2,     1.7
   33, 197.649, 197.749,    48.1,    47.6,    0.11,    0.09,  0.00,   359.6,    -0.1,     1.8
   34, 197.749, 197.849,    42.6,    49.2,    0.10,    0.10,  0.00,   359.5,    -0.1,     1.9
   35, 197.849, 197.949,    52.2,    52.0,    0.10,    0.10,  0.00,   359.5,    -0.2,     2.0
   36, 197.949, 198.049,    44.5,    44.6,    0.10,    0.10,  0.00,   359.5,    -0.2,     1.9
   37, 198.049, 198.149,    52.3,    45.2,    0.10,    0.11,  0.00,   359.5,    -0.1,     1.9
   38, 198.149, 198.249,    51.8,    45.5,    0.10,    0.12,  0.00,   359.4,     0.1,     1.8
   39, 198.249, 198.349,    53.1,    56.2,    0.10,    0.10,  0.00,   359.5,     0.2,     1.9
   40, 198.349, 198.449,    58.3,    50.3,    0.11,    0.09,  0.00,   359.6,     0.2,     2.0
   41, 198.449, 198.549,    46.3,    45.0,    0.12,    0.12,  0.00,   359.6,     0.2,     2.0
   42, 198.549, 198.649,    43.5,    41.4,    0.13,    0.12,  0.00,   359.4,     0.3,     1.9
   43, 198.649, 198.749,    43.5,    43.4,    0.14,    0.12,  0.00,   359.6,     0.2,     1.8
   44, 198.749, 198.849,    41.2,    40.2,    0.11,    0.12,  0.00,   359.6,     0.2,     1.7
   45, 198.849, 198.949,    39.8,    45.8,    0.11,    0.12,  0.00,   359.5,     0.3,     1.8
   46, 198.949, 199.049,    40.7,    45.3,    0.12,    0.13,  0.00,   359.4,     0.2,     1.9
   47, 199.049, 199.149,    45.1,    47.4,    0.13,    0.09,  0.00,   359.4,     0.1,     1.7
   48, 199.149, 199.249,    47.0,    51.9,    0.09,    0.09,  0.00,   359.6,     0.0,     1.6
   49, 199.249, 199.349,    52.5,    73.2,    0.08,    0.09,  0.00,   359.4,     0.1,     1.6
   50, 199.349, 199.446,    59.0,    65.5,    0.09,    0.07,  0.00,   359.5,     0.4,     1.3
