 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    83.0,    95.0,    0.28,    0.23,  0.00,   359.6,     1.9,     0.5
    2, 194.549, 194.649,    84.8,    90.3,    0.26,    0.26,  0.00,   359.4,     1.7,     0.4
    3, 194.649, 194.749,    81.6,    93.6,    0.29,    0.26,  0.00,   359.6,     1.6,     0.7
    4, 194.749, 194.849,    79.1,    74.5,    0.31,    0.19,  0.00,   359.5,     1.7,     0.9
    5, 194.849, 194.949,    73.5,    85.7,    0.30,    0.23,  0.00,   359.5,     1.8,     0.8
    6, 194.949, 195.049,    78.4,    83.8,    0.32,    0.26,  0.00,   359.5,     2.1,     0.9
    7, 195.049, 195.149,    99.4,   109.7,    0.30,    0.19,  0.00,   359.6,     2.3,     1.0
    8, 195.149, 195.249,    81.9,    92.0,    0.27,    0.21,  0.00,   359.4,     2.2,     0.9
    9, 195.249, 195.349,    92.1,    90.8,    0.23,    0.21,  0.00,   359.6,     2.2,     1.0
   10, 195.349, 195.449,    65.0,    68.8,    0.11,    0.10,  0.00,   359.4,     2.2,     1.1
   11, 195.449, 195.549,    56.7,    50.7,    0.11,    0.10,  0.00,   359.6,     2.1,     1.3
   12, 195.549, 195.649,    81.7,    76.6,    0.11,    0.12,  0.34,   359.6,     1.7,     1.3
   13, 195.649, 195.749,    70.8,    71.2,    0.16,    0.10,  0.00,   359.4,     1.6,     1.1
   14, 195.749, 195.849,    49.4,    45.2,    0.13,    0.09,  0.00,   359.5,     1.4,     1.2
   15, 195.849, 195.949,    51.9,    52.0,    0.11,    0.09,  0.00,   359.5,     1.5,     1.1
   16, 195.949, 196.049,    56.7,    49.9,    0.11,    0.10,  0.00,   359.5,     1.6,     1.3
   17, 196.049, 196.149,    54.1,    49.2,    0.10,    0.10,  0.00,   359.6,     1.6,     1.5
   18, 196.149, 196.249,    47.3,    51.7,    0.12,    0.11,  0.00,   359.4,     1.4,     1.5
   19, 196.249, 196.349,    47.4,    49.7,    0.11,    0.12,  0.00,   359.5,     1.8,     1.7
   20, 196.349, 196.449,    52.8,    54.6,    0.12,    0.14,  0.00,   359.5,     3.4,     1.7
   21, 196.449, 196.549,   113.9,    80.3,    0.10,    0.12,  0.00,   359.5,     1.6,     1.6
   22, 196.549, 196.649,    50.3,    52.4,    0.12,    0.08,  0.00,   359.5,    -0.6,     1.9
   23, 196.649, 196.749,    47.5,    48.0,    0.12,    0.09,  0.00,   359.5,    -1.0,     1.9
   24, 196.749, 196.849,    46.3,    45.5,    0.12,    0.09,  0.00,   359.6,     0.1,     2.2
   25, 196.849, 196.949,    57.8,    47.4,    0.10,    0.09,  0.00,   359.5,     0.4,     2.0
   26, 196.949, 197.049,    49.0,    53.4,    0.09,    0.11,  0.00,   359.6,     0.2,     2.1
   27, 197.049, 197.149,    59.6,    57.0,    0.09,    0.10,  0.00,   359.5,    -0.1,     2.1
   28, 197.149, 197.249,    53.3,    47.4,    0.10,    0.10,  0.00,   359.5,    -0.2,     1.9
   29, 197.249, 197.349,    45.7,    54.1,    0.10,    0.10,  0.00,   359.6,    -0.3,     2.0
   30, 197.349, 197.449,    56.5,    46.8,    0.10,    0.10,  0.00,   359.5,    -0.3,     1.9
   31, 197.449, 197.549,    49.8,    46.1,    0.10,    0.10,  0.00,   359.5,    -0.0,     1.7
   32, 197.549, 197.649,    49.7,    57.3,    0.11,    0.09,  0.00,   359.6,     0.3,     1.8
   33, 197.649, 197.749,    49.2,    50.1,    0.11,    0.11,  0.00,   359.6,     0.2,     2.0
   34, 197.749, 197.849,    48.2,    52.3,    0.11,    0.11,  0.00,   359.5,     0.2,     2.1
   35, 197.849, 197.949,    56.0,    55.0,    0.12,    0.11,  0.00,   359.5,     0.1,     2.1
   36, 197.949, 198.049,    46.4,    48.5,    0.10,    0.11,  0.00,   359.6,    -0.1,     2.1
   37, 198.049, 198.149,    54.6,    47.4,    0.11,    0.12,  0.00,   359.4,    -0.0,     2.1
   38, 198.149, 198.249,    50.5,    45.9,    0.12,    0.12,  0.00,   359.4,     0.1,     1.9
   39, 198.249, 198.349,    52.0,    57.9,    0.10,    0.11,  0.00,   359.6,     0.3,     2.0
   40, 198.349, 198.449,    55.7,    48.4,    0.11,    0.11,  0.00,   359.5,     0.3,     2.1
   41, 198.449, 198.549,    46.9,    44.3,    0.12,    0.12,  0.00,   359.6,     0.2,     2.0
   42, 198.549, 198.649,    48.0,    46.2,    0.13,    0.13,  0.00,   359.5,     0.2,     2.0
   43, 198.649, 198.749,    46.2,    47.2,    0.13,    0.14,  0.00,   359.5,     0.3,     1.9
   44, 198.749, 198.849,    44.6,    42.6,    0.11,    0.14,  0.00,   359.5,     0.3,     1.8
   45, 198.849, 198.949,    43.9,    45.6,    0.13,    0.12,  0.00,   359.5,     0.3,     2.0
   46, 198.949, 199.049,    45.5,    48.2,    0.12,    0.14,  0.00,   359.6,     0.3,     2.0
   47, 199.049, 199.149,    47.5,    47.5,    0.11,    0.12,  0.00,   359.4,     0.2,     1.9
   48, 199.149, 199.249,    49.1,    49.3,    0.10,    0.09,  0.00,   359.5,     0.2,     1.7
   49, 199.249, 199.349,    52.0,    75.8,    0.09,    0.10,  0.00,   359.5,     0.4,     1.7
   50, 199.349, 199.442,    60.9,    65.2,    0.09,    0.08,  0.00,   359.5,     0.8,     1.5
