 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    81.9,    97.8,    0.31,    0.23,   359.5,     0.2,     0.6
    2, 194.549, 194.649,    87.8,    98.8,    0.30,    0.26,   359.5,     0.0,     0.4
    3, 194.649, 194.749,    76.9,   103.3,    0.31,    0.26,   359.5,    -0.1,     0.7
    4, 194.749, 194.849,    77.3,    74.4,    0.34,    0.17,   359.5,    -0.2,     0.8
    5, 194.849, 194.949,    75.1,    90.6,    0.35,    0.20,   359.5,    -0.3,     0.7
    6, 194.949, 195.049,    82.3,    93.9,    0.36,    0.20,   359.6,    -0.0,     0.7
    7, 195.049, 195.149,   104.7,   125.8,    0.33,    0.17,   359.6,     0.1,     0.9
    8, 195.149, 195.249,    78.4,   100.7,    0.30,    0.20,   359.4,    -0.0,     0.8
    9, 195.249, 195.349,    96.7,    95.5,    0.26,    0.19,   359.5,    -0.0,     0.9
   10, 195.349, 195.449,    58.7,    68.7,    0.12,    0.09,   359.5,    -0.1,     0.9
   11, 195.449, 195.549,    54.2,    50.6,    0.12,    0.10,   359.6,    -0.1,     1.2
   12, 195.549, 195.649,    77.8,    73.6,    0.12,    0.12,   359.6,    -0.5,     1.2
   13, 195.649, 195.749,    69.0,    64.8,    0.16,    0.12,   359.5,    -0.7,     1.1
   14, 195.749, 195.849,    56.5,    43.0,    0.14,    0.10,   359.5,    -0.8,     1.1
   15, 195.849, 195.949,    50.9,    50.7,    0.13,    0.08,   359.4,    -0.8,     1.0
   16, 195.949, 196.049,    50.2,    44.0,    0.14,    0.08,   359.6,    -0.7,     1.1
   17, 196.049, 196.149,    52.1,    46.6,    0.10,    0.11,   359.6,    -0.7,     1.5
   18, 196.149, 196.249,    42.6,    47.8,    0.11,    0.13,   359.4,    -0.8,     1.5
   19, 196.249, 196.349,    48.8,    52.2,    0.11,    0.12,   359.6,    -0.3,     1.6
   20, 196.349, 196.449,    47.0,    50.3,    0.12,    0.14,   359.5,     1.3,     1.7
   21, 196.449, 196.549,    99.6,    89.2,    0.11,    0.13,   359.5,    -0.4,     1.6
   22, 196.549, 196.649,    48.6,    52.3,    0.13,    0.08,   359.5,    -2.5,     1.8
   23, 196.649, 196.749,    46.0,    50.0,    0.12,    0.11,   359.5,    -2.9,     1.9
   24, 196.749, 196.849,    43.4,    44.6,    0.12,    0.10,   359.5,    -1.6,     2.2
   25, 196.849, 196.949,    51.3,    46.6,    0.11,    0.10,   359.5,    -1.2,     2.0
   26, 196.949, 197.049,    45.8,    47.8,    0.12,    0.08,   359.6,    -1.2,     2.0
   27, 197.049, 197.149,    58.4,    55.9,    0.10,    0.09,   359.5,    -1.2,     2.0
   28, 197.149, 197.249,    50.4,    46.4,    0.10,    0.10,   359.5,    -1.3,     1.8
   29, 197.249, 197.349,    43.1,    52.5,    0.10,    0.10,   359.5,    -1.3,     1.8
   30, 197.349, 197.449,    50.2,    43.3,    0.10,    0.11,   359.6,    -1.3,     1.8
   31, 197.449, 197.549,    50.0,    48.7,    0.09,    0.11,   359.6,    -1.2,     1.5
   32, 197.549, 197.649,    48.2,    49.2,    0.09,    0.11,   359.5,    -0.9,     1.7
   33, 197.649, 197.749,    48.8,    51.0,    0.11,    0.11,   359.5,    -1.0,     1.8
   34, 197.749, 197.849,    43.2,    51.9,    0.13,    0.11,   359.6,    -0.9,     1.9
   35, 197.849, 197.949,    50.1,    52.0,    0.11,    0.12,   359.5,    -1.0,     2.0
   36, 197.949, 198.049,    46.9,    45.8,    0.12,    0.11,   359.4,    -1.0,     1.9
   37, 198.049, 198.149,    53.9,    44.4,    0.11,    0.12,   359.5,    -1.0,     2.0
   38, 198.149, 198.249,    50.8,    44.2,    0.11,    0.12,   359.4,    -0.8,     1.8
   39, 198.249, 198.349,    51.3,    57.1,    0.10,    0.11,   359.6,    -0.7,     1.9
   40, 198.349, 198.449,    49.9,    45.9,    0.12,    0.12,   359.6,    -0.7,     2.0
   41, 198.449, 198.549,    49.9,    47.2,    0.12,    0.14,   359.5,    -0.8,     2.0
   42, 198.549, 198.649,    43.3,    43.0,    0.13,    0.14,   359.5,    -0.7,     1.9
   43, 198.649, 198.749,    42.4,    44.3,    0.13,    0.15,   359.5,    -0.7,     1.8
   44, 198.749, 198.849,    43.1,    42.5,    0.12,    0.13,   359.5,    -0.8,     1.8
   45, 198.849, 198.949,    39.0,    45.2,    0.13,    0.13,   359.5,    -0.8,     1.9
   46, 198.949, 199.049,    43.8,    49.0,    0.14,    0.14,   359.5,    -0.8,     2.0
   47, 199.049, 199.149,    47.9,    49.7,    0.13,    0.11,   359.5,    -0.9,     1.8
   48, 199.149, 199.249,    47.4,    47.3,    0.11,    0.08,   359.5,    -1.0,     1.6
   49, 199.249, 199.349,    51.7,    72.5,    0.10,    0.08,   359.5,    -0.9,     1.6
   50, 199.349, 199.446,    60.0,    63.8,    0.10,    0.07,   359.5,    -0.5,     1.4
