 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    76.6,    90.0,    0.33,    0.23,   359.5,     0.9,     0.8
    2, 194.549, 194.649,    82.0,    88.1,    0.30,    0.25,   359.5,     0.6,     0.5
    3, 194.649, 194.749,    82.2,    91.5,    0.31,    0.25,   359.6,     0.4,     0.8
    4, 194.749, 194.849,    75.7,    72.6,    0.34,    0.18,   359.5,     0.2,     0.9
    5, 194.849, 194.949,    76.7,    76.7,    0.36,    0.20,   359.4,     0.1,     0.8
    6, 194.949, 195.049,    75.0,    82.3,    0.37,    0.23,   359.6,     0.3,     0.8
    7, 195.049, 195.149,   102.0,   106.1,    0.35,    0.18,   359.6,     0.4,     0.9
    8, 195.149, 195.249,    83.3,    93.9,    0.32,    0.20,   359.5,     0.2,     0.8
    9, 195.249, 195.349,    93.7,    91.4,    0.27,    0.19,   359.4,     0.2,     0.9
   10, 195.349, 195.449,    62.4,    67.0,    0.11,    0.07,   359.5,     0.1,     1.0
   11, 195.449, 195.549,    62.3,    51.2,    0.12,    0.07,   359.6,     0.0,     1.1
   12, 195.549, 195.649,    74.8,    72.2,    0.11,    0.11,   359.6,    -0.3,     1.1
   13, 195.649, 195.749,    75.9,    63.6,    0.16,    0.10,   359.4,    -0.4,     1.0
   14, 195.749, 195.849,    49.6,    44.8,    0.15,    0.07,   359.5,    -0.6,     1.0
   15, 195.849, 195.949,    47.3,    46.8,    0.12,    0.06,   359.5,    -0.5,     0.9
   16, 195.949, 196.049,    49.7,    45.7,    0.13,    0.07,   359.5,    -0.4,     1.0
   17, 196.049, 196.149,    50.2,    45.2,    0.09,    0.09,   359.7,    -0.4,     1.2
   18, 196.149, 196.249,    43.9,    48.8,    0.10,    0.10,   359.4,    -0.3,     1.3
   19, 196.249, 196.349,    48.0,    46.5,    0.10,    0.11,   359.5,     0.1,     1.4
   20, 196.349, 196.449,    46.3,    54.0,    0.11,    0.12,   359.6,     1.8,     1.5
   21, 196.449, 196.549,   107.7,    81.6,    0.09,    0.11,   359.5,     0.2,     1.3
   22, 196.549, 196.649,    47.7,    52.4,    0.12,    0.07,   359.5,    -1.9,     1.5
   23, 196.649, 196.749,    45.5,    49.8,    0.11,    0.10,   359.5,    -2.2,     1.7
   24, 196.749, 196.849,    46.2,    46.9,    0.11,    0.08,   359.5,    -0.9,     2.0
   25, 196.849, 196.949,    56.5,    44.0,    0.11,    0.07,   359.5,    -0.4,     1.8
   26, 196.949, 197.049,    47.7,    49.7,    0.11,    0.07,   359.5,    -0.4,     1.8
   27, 197.049, 197.149,    60.5,    63.2,    0.10,    0.07,   359.6,    -0.4,     1.7
   28, 197.149, 197.249,    49.4,    46.3,    0.10,    0.08,   359.6,    -0.4,     1.5
   29, 197.249, 197.349,    45.8,    52.6,    0.09,    0.10,   359.5,    -0.4,     1.6
   30, 197.349, 197.449,    53.2,    41.0,    0.10,    0.10,   359.5,    -0.3,     1.6
   31, 197.449, 197.549,    47.7,    42.6,    0.09,    0.09,   359.4,    -0.1,     1.3
   32, 197.549, 197.649,    47.7,    46.6,    0.10,    0.09,   359.5,     0.2,     1.4
   33, 197.649, 197.749,    47.4,    46.7,    0.11,    0.09,   359.6,     0.2,     1.5
   34, 197.749, 197.849,    46.5,    49.0,    0.12,    0.09,   359.5,     0.3,     1.6
   35, 197.849, 197.949,    53.1,    54.9,    0.11,    0.09,   359.5,     0.3,     1.7
   36, 197.949, 198.049,    49.8,    44.2,    0.11,    0.09,   359.5,     0.3,     1.6
   37, 198.049, 198.149,    54.7,    46.4,    0.10,    0.11,   359.5,     0.4,     1.7
   38, 198.149, 198.249,    48.6,    46.0,    0.11,    0.10,   359.4,     0.5,     1.4
   39, 198.249, 198.349,    51.3,    57.9,    0.10,    0.09,   359.5,     0.6,     1.6
   40, 198.349, 198.449,    56.8,    47.1,    0.10,    0.09,   359.6,     0.7,     1.6
   41, 198.449, 198.549,    46.7,    42.5,    0.12,    0.11,   359.6,     0.6,     1.6
   42, 198.549, 198.649,    44.5,    44.4,    0.13,    0.11,   359.4,     0.7,     1.6
   43, 198.649, 198.749,    46.2,    40.3,    0.13,    0.12,   359.6,     0.6,     1.4
   44, 198.749, 198.849,    43.7,    44.1,    0.12,    0.11,   359.5,     0.7,     1.5
   45, 198.849, 198.949,    43.4,    46.9,    0.12,    0.11,   359.4,     0.7,     1.6
   46, 198.949, 199.049,    42.8,    50.9,    0.13,    0.12,   359.5,     0.6,     1.6
   47, 199.049, 199.149,    43.9,    52.6,    0.12,    0.10,   359.5,     0.6,     1.5
   48, 199.149, 199.249,    48.5,    48.1,    0.09,    0.07,   359.5,     0.4,     1.3
   49, 199.249, 199.349,    55.8,    67.9,    0.09,    0.08,   359.4,     0.6,     1.3
   50, 199.349, 199.447,    58.7,    64.9,    0.09,    0.06,   359.6,     0.8,     1.0
